step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
1220,0.397,0.001415,0.006053,0.000000,0.001379,0.006997,0.000000,0.000000,0.000000,0.000000
1240,0.4035,0.001412,0.006041,0.000000,0.001377,0.006983,0.000000,0.000000,0.000000,0.000000
1260,0.41,0.001409,0.006029,0.000000,0.001374,0.006969,0.000000,0.000000,0.000000,0.000000
1280,0.4165,0.001406,0.006017,0.000000,0.001371,0.006955,0.000000,0.000000,0.000000,0.000000
1300,0.423,0.001403,0.006005,0.000000,0.001368,0.006941,0.000000,0.000000,0.000000,0.000000
1320,0.4295,0.001401,0.005993,0.000000,0.001366,0.006927,0.000000,0.000000,0.000000,0.000000
1340,0.436,0.001398,0.005981,0.000000,0.001363,0.006913,0.000000,0.000000,0.000000,0.000000
1360,0.4425,0.001395,0.005969,0.000000,0.001360,0.006900,0.000000,0.000000,0.000000,0.000000
1380,0.449,0.001392,0.005957,0.000000,0.001357,0.006886,0.000000,0.000000,0.000000,0.000000
1400,0.4555,0.001389,0.005945,0.000000,0.001355,0.006872,0.000000,0.000000,0.000000,0.000000
1420,0.4621,0.001387,0.005933,0.000000,0.001352,0.006858,0.000000,0.000000,0.000000,0.000000
1440,0.4686,0.001384,0.005922,0.000000,0.001349,0.006845,0.000000,0.000000,0.000000,0.000000
1460,0.4751,0.001381,0.005910,0.000000,0.001347,0.006831,0.000000,0.000000,0.000000,0.000000
1480,0.4816,0.001378,0.005898,0.000000,0.001344,0.006817,0.000000,0.000000,0.000000,0.000000
1500,0.4881,0.001376,0.005886,0.000000,0.001341,0.006804,0.000000,0.000000,0.000000,0.000000
1520,0.4946,0.001373,0.005874,0.000000,0.001339,0.006790,0.000000,0.000000,0.000000,0.000000
1540,0.5011,0.001370,0.005863,0.000000,0.001336,0.006776,0.000000,0.000000,0.000000,0.000000
1560,0.5076,0.001367,0.005851,0.000000,0.001333,0.006763,0.000000,0.000000,0.000000,0.000000
1580,0.5141,0.001365,0.005839,0.000000,0.001331,0.006749,0.000000,0.000000,0.000000,0.000000
1600,0.5206,0.001362,0.005828,0.000000,0.001328,0.006736,0.000000,0.000000,0.000000,0.000000
1620,0.5271,0.001359,0.005816,0.000000,0.001325,0.006722,0.000000,0.000000,0.000000,0.000000
1640,0.5336,0.001356,0.005804,0.000000,0.001323,0.006709,0.000000,0.000000,0.000000,0.000000
1660,0.5401,0.001354,0.005793,0.000000,0.001320,0.006696,0.000000,0.000000,0.000000,0.000000
1680,0.5467,0.001351,0.005781,0.000000,0.001317,0.006682,0.000000,0.000000,0.000000,0.000000
1700,0.5532,0.001348,0.005770,0.000000,0.001315,0.006669,0.000000,0.000000,0.000000,0.000000
1720,0.5597,0.001346,0.005758,0.000000,0.001312,0.006656,0.000000,0.000000,0.000000,0.000000
1740,0.5662,0.001343,0.005747,0.000000,0.001309,0.006642,0.000000,0.000000,0.000000,0.000000
1760,0.5727,0.001340,0.005735,0.000000,0.001307,0.006629,0.000000,0.000000,0.000000,0.000000
1780,0.5792,0.001338,0.005724,0.000000,0.001304,0.006616,0.000000,0.000000,0.000000,0.000000
1800,0.5857,0.001335,0.005712,0.000000,0.001302,0.006603,0.000000,0.000000,0.000000,0.000000
1820,0.5922,0.001332,0.005701,0.000000,0.001299,0.006589,0.000000,0.000000,0.000000,0.000000
1840,0.5987,0.001330,0.005689,0.000000,0.001296,0.006576,0.000000,0.000000,0.000000,0.000000
1860,0.6052,0.001327,0.005678,0.000000,0.001294,0.006563,0.000000,0.000000,0.000000,0.000000
1880,0.6117,0.001324,0.005667,0.000000,0.001291,0.006550,0.000000,0.000000,0.000000,0.000000
1900,0.6182,0.001322,0.005655,0.000000,0.001289,0.006537,0.000000,0.000000,0.000000,0.000000
1920,0.6247,0.001319,0.005644,0.000000,0.001286,0.006524,0.000000,0.000000,0.000000,0.000000
1940,0.6313,0.001316,0.005633,0.000000,0.001283,0.006511,0.000000,0.000000,0.000000,0.000000
1960,0.6378,0.001314,0.005621,0.000000,0.001281,0.006498,0.000000,0.000000,0.000000,0.000000
1980,0.6443,0.001311,0.005610,0.000000,0.001278,0.006485,0.000000,0.000000,0.000000,0.000000
2000,0.6508,0.001309,0.005599,0.000000,0.001276,0.006472,0.000000,0.000000,0.000000,0.000000
2020,0.6573,0.001306,0.005588,0.000000,0.001273,0.006459,0.000000,0.000000,0.000000,0.000000
2040,0.6638,0.001303,0.005577,0.000000,0.001271,0.006446,0.000000,0.000000,0.000000,0.000000
2060,0.6703,0.001301,0.005566,0.000000,0.001268,0.006433,0.000000,0.000000,0.000000,0.000000
2080,0.6768,0.001298,0.005554,0.000000,0.001266,0.006420,0.000000,0.000000,0.000000,0.000000
2100,0.6833,0.001296,0.005543,0.000000,0.001263,0.006407,0.000000,0.000000,0.000000,0.000000
