step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
1220,0.397,0.065287,9.634210,0.000000,0.031096,4.776049,0.000000,0.162501,5.694745,0.000000
1240,0.4035,0.063873,9.681146,0.000000,0.030976,4.777118,0.000000,0.163200,5.727581,0.000000
1260,0.41,0.063800,9.854811,0.000000,0.031914,4.812606,0.000000,0.163761,5.726044,0.000000
1280,0.4165,0.064744,9.980945,0.000000,0.031709,4.982270,0.000000,0.163989,5.754272,0.000000
1300,0.423,0.064540,10.115943,0.000000,0.032246,4.777156,0.000000,0.164593,5.757563,0.000000
1320,0.4295,0.064687,10.125732,0.000000,0.031944,4.870756,0.000000,0.165640,5.806530,0.000000
1340,0.436,0.063907,10.201522,0.000000,0.032307,4.889860,0.000000,0.166199,5.814375,0.000000
1360,0.4425,0.064617,10.295253,0.000000,0.032482,4.695082,0.000000,0.166213,5.820965,0.000000
1380,0.449,0.065565,10.368754,0.000000,0.032399,4.631631,0.000000,0.166456,5.801712,0.000000
1400,0.4555,0.065168,10.459053,0.000000,0.031818,4.731037,0.000000,0.166823,5.822887,0.000000
1420,0.4621,0.065210,10.522446,0.000000,0.031432,4.759784,0.000000,0.167148,5.837014,0.000000
1440,0.4686,0.065514,10.679192,0.000000,0.031449,4.722442,0.000000,0.166921,5.884973,0.000000
1460,0.4751,0.064982,10.791803,0.000000,0.032146,4.708110,0.000000,0.167252,5.926597,0.000000
1480,0.4816,0.065506,10.881072,0.000000,0.032102,4.705939,0.000000,0.167941,6.001603,0.000000
1500,0.4881,0.065835,10.940936,0.000000,0.031690,4.669383,0.000000,0.168103,6.043064,0.000000
1520,0.4946,0.066591,10.987720,0.000000,0.031351,4.606071,0.000000,0.168684,6.147413,0.000000
1540,0.5011,0.066930,11.114872,0.000000,0.032344,4.609072,0.000000,0.168800,6.220030,0.000000
1560,0.5076,0.066765,11.202391,0.000000,0.030845,4.453005,0.000000,0.168861,6.325792,0.000000
1580,0.5141,0.067338,11.276592,0.000000,0.031402,4.447096,0.000000,0.168877,6.367733,0.000000
1600,0.5206,0.068365,11.395448,0.000000,0.032159,4.660517,0.000000,0.170309,6.453250,0.000000
1620,0.5271,0.066339,11.526956,0.000000,0.033328,4.693666,0.000000,0.170960,6.441201,0.000000
1640,0.5336,0.067287,11.601371,0.000000,0.032740,4.678801,0.000000,0.171835,6.494531,0.000000
1660,0.5401,0.067089,11.687926,0.000000,0.032294,4.728593,0.000000,0.172872,6.585934,0.000000
1680,0.5467,0.067441,11.793173,0.000000,0.031782,4.763443,0.000000,0.173943,6.683450,0.000000
