step,epoch,theta_L_mean,theta_L_max,theta_L_grad,theta_R_mean,theta_R_max,theta_R_grad,core_mean,core_max,core_grad
61,0.0198,0.013757,0.326434,0.000000,0.013828,0.358919,0.000000,0.272111,2.332770,0.000000
62,0.0202,0.013775,0.330492,0.000000,0.013865,0.368002,0.000000,0.272619,2.348682,0.000000
63,0.0205,0.013796,0.334594,0.000000,0.013901,0.376798,0.000000,0.273094,2.365290,0.000000
64,0.0208,0.013817,0.337709,0.000000,0.013935,0.386039,0.000000,0.273535,2.387905,0.000000
65,0.0212,0.013840,0.342358,0.000000,0.013962,0.394786,0.000000,0.273959,2.412762,0.000000
66,0.0215,0.013866,0.346833,0.000000,0.013988,0.401789,0.000000,0.274395,2.443607,0.000000
67,0.0218,0.013891,0.350698,0.000000,0.014011,0.407894,0.000000,0.274794,2.468739,0.000000
68,0.0221,0.013912,0.353089,0.000000,0.014042,0.412743,0.000000,0.275168,2.496337,0.000000
69,0.0225,0.013936,0.355646,0.000000,0.014072,0.414367,0.000000,0.275532,2.507322,0.000000
70,0.0228,0.013962,0.356868,0.000000,0.014101,0.418833,0.000000,0.275895,2.511791,0.000000
71,0.0231,0.013987,0.358686,0.000000,0.014129,0.422231,0.000000,0.276249,2.516394,0.000000
72,0.0234,0.014013,0.361071,0.000000,0.014159,0.425472,0.000000,0.276608,2.529932,0.000000
73,0.0238,0.014037,0.365593,0.000000,0.014183,0.428560,0.000000,0.276975,2.551198,0.000000
74,0.0241,0.014063,0.370829,0.000000,0.014205,0.429938,0.000000,0.277361,2.576111,0.000000
75,0.0244,0.014091,0.376707,0.000000,0.014234,0.433077,0.000000,0.277745,2.596490,0.000000
76,0.0247,0.014126,0.382472,0.000000,0.014259,0.437106,0.000000,0.278140,2.613245,0.000000
77,0.0251,0.014158,0.387174,0.000000,0.014284,0.440680,0.000000,0.278539,2.627316,0.000000
78,0.0254,0.014182,0.389934,0.000000,0.014310,0.444274,0.000000,0.278940,2.633439,0.000000
79,0.0257,0.014203,0.390490,0.000000,0.014333,0.447637,0.000000,0.279331,2.640632,0.000000
80,0.026,0.014220,0.389488,0.000000,0.014361,0.448327,0.000000,0.279725,2.647125,0.000000
81,0.0264,0.014237,0.388001,0.000000,0.014389,0.451227,0.000000,0.280130,2.652466,0.000000
82,0.0267,0.014254,0.387661,0.000000,0.014418,0.452576,0.000000,0.280500,2.662890,0.000000
83,0.027,0.014270,0.390728,0.000000,0.014445,0.452652,0.000000,0.280876,2.677040,0.000000
84,0.0273,0.014290,0.395325,0.000000,0.014472,0.450478,0.000000,0.281255,2.691994,0.000000
85,0.0277,0.014313,0.401830,0.000000,0.014504,0.450488,0.000000,0.281676,2.713486,0.000000
86,0.028,0.014330,0.408743,0.000000,0.014530,0.449554,0.000000,0.282091,2.719688,0.000000
87,0.0283,0.014350,0.415238,0.000000,0.014554,0.448103,0.000000,0.282463,2.713879,0.000000
88,0.0286,0.014372,0.421654,0.000000,0.014581,0.447839,0.000000,0.282810,2.704460,0.000000
89,0.029,0.014401,0.426343,0.000000,0.014611,0.446410,0.000000,0.283179,2.695606,0.000000
90,0.0293,0.014424,0.430144,0.000000,0.014635,0.447721,0.000000,0.283566,2.688932,0.000000
91,0.0296,0.014443,0.433173,0.000000,0.014659,0.447793,0.000000,0.283996,2.691888,0.000000
92,0.0299,0.014464,0.437328,0.000000,0.014680,0.446467,0.000000,0.284500,2.698895,0.000000
93,0.0303,0.014482,0.443552,0.000000,0.014699,0.447139,0.000000,0.285066,2.702709,0.000000
94,0.0306,0.014519,0.450672,0.000000,0.014715,0.449186,0.000000,0.285708,2.703793,0.000000
95,0.0309,0.014565,0.457056,0.000000,0.014737,0.452718,0.000000,0.286398,2.704389,0.000000
96,0.0312,0.014609,0.463326,0.000000,0.014768,0.459174,0.000000,0.287145,2.707806,0.000000
97,0.0316,0.014648,0.468765,0.000000,0.014806,0.466259,0.000000,0.287941,2.720206,0.000000
98,0.0319,0.014680,0.472129,0.000000,0.014852,0.473842,0.000000,0.288803,2.764385,0.000000
99,0.0322,0.014703,0.474567,0.000000,0.014894,0.483531,0.000000,0.289681,2.807831,0.000000
100,0.0325,0.014733,0.476696,0.000000,0.014939,0.493066,0.000000,0.290624,2.853808,0.000000
101,0.0329,0.014766,0.478672,0.000000,0.014991,0.500013,0.000000,0.291623,2.895918,0.000000
102,0.0332,0.014797,0.481169,0.000000,0.015054,0.508738,0.000000,0.292648,2.934922,0.000000
103,0.0335,0.014839,0.484026,0.000000,0.015124,0.516592,0.000000,0.293774,2.965247,0.000000
104,0.0338,0.014906,0.486907,0.000000,0.015190,0.518589,0.000000,0.295006,2.969827,0.000000
105,0.0342,0.015004,0.489494,0.000000,0.015257,0.517064,0.000000,0.296476,2.976308,0.000000
106,0.0345,0.015113,0.492290,0.000000,0.015324,0.514119,0.000000,0.298148,2.995051,0.000000
107,0.0348,0.015217,0.495350,0.000000,0.015403,0.511108,0.000000,0.299910,3.011069,0.000000
108,0.0351,0.015338,0.498634,0.000000,0.015497,0.508240,0.000000,0.301638,3.024527,0.000000
109,0.0355,0.015441,0.501637,0.000000,0.015623,0.501448,0.000000,0.303476,3.029634,0.000000
110,0.0358,0.015561,0.504394,0.000000,0.015752,0.497894,0.000000,0.305619,3.034699,0.000000
111,0.0361,0.015680,0.506996,0.000000,0.015865,0.496849,0.000000,0.308058,3.036373,0.000000
112,0.0364,0.015842,0.509246,0.000000,0.015987,0.496947,0.000000,0.310589,3.045043,0.000000
113,0.0368,0.016024,0.511206,0.000000,0.016105,0.497740,0.000000,0.313275,3.071986,0.000000
114,0.0371,0.016230,0.512529,0.000000,0.016224,0.499532,0.000000,0.316160,3.130188,0.000000
115,0.0374,0.016436,0.513809,0.000000,0.016343,0.501593,0.000000,0.319103,3.191298,0.000000
116,0.0377,0.016637,0.514736,0.000000,0.016472,0.502066,0.000000,0.322164,3.259865,0.000000
117,0.0381,0.016844,0.515636,0.000000,0.016609,0.501735,0.000000,0.325205,3.325718,0.000000
118,0.0384,0.017039,0.516921,0.000000,0.016748,0.502348,0.000000,0.328209,3.383399,0.000000
119,0.0387,0.017211,0.517635,0.000000,0.016881,0.503583,0.000000,0.331058,3.440249,0.000000
120,0.039,0.017369,0.520245,0.000000,0.017023,0.505135,0.000000,0.333875,3.497352,0.000000
121,0.0394,0.017539,0.528208,0.000000,0.017177,0.507395,0.000000,0.336561,3.560128,0.000000
122,0.0397,0.017714,0.534905,0.000000,0.017315,0.509591,0.000000,0.339227,3.632842,0.000000
123,0.04,0.017886,0.538587,0.000000,0.017437,0.512436,0.000000,0.341828,3.712996,0.000000
124,0.0403,0.018056,0.542504,0.000000,0.017562,0.515790,0.000000,0.344490,3.793954,0.000000
125,0.0407,0.018213,0.545908,0.000000,0.017678,0.519952,0.000000,0.347226,3.871449,0.000000
126,0.041,0.018363,0.548361,0.000000,0.017813,0.522557,0.000000,0.349931,3.950182,0.000000
127,0.0413,0.018503,0.549045,0.000000,0.017946,0.524224,0.000000,0.352664,4.017509,0.000000
128,0.0416,0.018645,0.548532,0.000000,0.018075,0.526665,0.000000,0.355350,4.078306,0.000000
129,0.042,0.018785,0.546639,0.000000,0.018214,0.526703,0.000000,0.358049,4.131456,0.000000
130,0.0423,0.018941,0.544315,0.000000,0.018348,0.523928,0.000000,0.360753,4.181726,0.000000
131,0.0426,0.019103,0.540052,0.000000,0.018494,0.523482,0.000000,0.363596,4.227642,0.000000
132,0.043,0.019255,0.537029,0.000000,0.018636,0.521609,0.000000,0.366430,4.275568,0.000000
133,0.0433,0.019386,0.547574,0.000000,0.018751,0.521041,0.000000,0.369109,4.320328,0.000000
134,0.0436,0.019529,0.557039,0.000000,0.018902,0.519456,0.000000,0.372084,4.369318,0.000000
135,0.0439,0.019680,0.566224,0.000000,0.019045,0.516191,0.000000,0.375092,4.415477,0.000000
136,0.0443,0.019851,0.574551,0.000000,0.019195,0.513544,0.000000,0.378093,4.455513,0.000000
137,0.0446,0.020018,0.582409,0.000000,0.019389,0.508601,0.000000,0.381128,4.490398,0.000000
138,0.0449,0.020187,0.589417,0.000000,0.019589,0.504772,0.000000,0.384236,4.521434,0.000000
139,0.0452,0.020338,0.597434,0.000000,0.019791,0.502342,0.000000,0.387267,4.560813,0.000000
140,0.0456,0.020487,0.603352,0.000000,0.020023,0.502821,0.000000,0.390159,4.592369,0.000000
141,0.0459,0.020650,0.608609,0.000000,0.020231,0.505636,0.000000,0.393150,4.607090,0.000000
142,0.0462,0.020812,0.613364,0.000000,0.020434,0.508518,0.000000,0.396237,4.619259,0.000000
143,0.0465,0.020977,0.617628,0.000000,0.020650,0.510818,0.000000,0.399419,4.633814,0.000000
144,0.0469,0.021147,0.621411,0.000000,0.020876,0.513609,0.000000,0.402662,4.654590,0.000000
145,0.0472,0.021309,0.624861,0.000000,0.021087,0.515344,0.000000,0.405838,4.674345,0.000000
146,0.0475,0.021467,0.627866,0.000000,0.021295,0.517212,0.000000,0.408934,4.667255,0.000000
147,0.0478,0.021617,0.630299,0.000000,0.021493,0.519563,0.000000,0.411971,4.684305,0.000000
148,0.0482,0.021761,0.632455,0.000000,0.021685,0.522008,0.000000,0.414896,4.711096,0.000000
149,0.0485,0.021904,0.634300,0.000000,0.021879,0.523885,0.000000,0.417845,4.752982,0.000000
150,0.0488,0.022048,0.636187,0.000000,0.022061,0.526758,0.000000,0.420764,4.800559,0.000000
151,0.0491,0.022180,0.638545,0.000000,0.022219,0.529759,0.000000,0.423587,4.862343,0.000000
152,0.0495,0.022340,0.640454,0.000000,0.022369,0.532493,0.000000,0.426354,4.920815,0.000000
153,0.0498,0.022499,0.641469,0.000000,0.022506,0.535169,0.000000,0.429044,4.979477,0.000000
154,0.0501,0.022643,0.641793,0.000000,0.022641,0.538340,0.000000,0.431702,5.036077,0.000000
155,0.0504,0.022790,0.642747,0.000000,0.022785,0.541216,0.000000,0.434295,5.091317,0.000000
156,0.0508,0.022944,0.643463,0.000000,0.022929,0.543793,0.000000,0.436801,5.135465,0.000000
157,0.0511,0.023098,0.643555,0.000000,0.023065,0.545156,0.000000,0.439286,5.181738,0.000000
158,0.0514,0.023231,0.643863,0.000000,0.023198,0.546319,0.000000,0.441728,5.224239,0.000000
159,0.0517,0.023329,0.643880,0.000000,0.023321,0.547072,0.000000,0.444117,5.269058,0.000000
160,0.0521,0.023410,0.643332,0.000000,0.023430,0.548172,0.000000,0.446501,5.313905,0.000000
161,0.0524,0.023464,0.639393,0.000000,0.023542,0.549386,0.000000,0.448808,5.358337,0.000000
162,0.0527,0.023520,0.636138,0.000000,0.023651,0.549332,0.000000,0.451047,5.391568,0.000000
163,0.053,0.023584,0.634432,0.000000,0.023752,0.546611,0.000000,0.453250,5.427167,0.000000
164,0.0534,0.023653,0.632335,0.000000,0.023857,0.543347,0.000000,0.455426,5.461093,0.000000
165,0.0537,0.023731,0.630235,0.000000,0.023975,0.539900,0.000000,0.457597,5.493658,0.000000
166,0.054,0.023820,0.635101,0.000000,0.024084,0.536388,0.000000,0.459775,5.524215,0.000000
167,0.0543,0.023900,0.639430,0.000000,0.024180,0.533545,0.000000,0.461964,5.552710,0.000000
168,0.0547,0.023985,0.643777,0.000000,0.024271,0.532450,0.000000,0.464107,5.578354,0.000000
169,0.055,0.024071,0.649065,0.000000,0.024361,0.532077,0.000000,0.466212,5.602409,0.000000
170,0.0553,0.024159,0.653955,0.000000,0.024450,0.532001,0.000000,0.468212,5.622477,0.000000
171,0.0556,0.024255,0.658403,0.000000,0.024537,0.531356,0.000000,0.470085,5.641059,0.000000
172,0.056,0.024349,0.662407,0.000000,0.024622,0.530774,0.000000,0.471836,5.657912,0.000000
173,0.0563,0.024447,0.666011,0.000000,0.024708,0.530553,0.000000,0.473525,5.673327,0.000000
